Castaway,Job,URL,Book,Date first broadcast,Artist 1,Song 1,Artist 2,Song 2,Artist 3,Song 3,Artist 4,Song 4,Artist 5,Song 5,Artist 6,Song 6,Artist 7,Song 7,Artist 8,Song 8
Professor Peter Hennessy,historian,https://www.bbc.co.uk/programmes/m001lr3k,Poetry in the Making by Ted Hughes,2023-05-07,Michael Flanders and Donald Swann,Slow train,Johann Sebastian Bach,"Italian Concerto in F, BWV 971",George Formby,Why Don't Women Like Me?,Franz Schubert,"Schubert String Quintet In C Major,D. 956 - 2. Adagio",Tom Lehrer,The Elements,Chas & Dave,London Girls,The Pipes and Drums Of Leanisch,Skye Boat Song,Johannes Brahms,How Lovely is Thy Dwelling Place
Richard E Grant,actor,https://www.bbc.co.uk/programmes/m001dwlk,Alice in Wonderland by Lewis Carroll,2022-11-06,Barbra Streisand,I'm The Greatest Star,Nat King Cole,When I Fall In Love,Percy Sledge,When a Man Loves a Woman,Eurythmics,Sweet Dreams (Are Made Of This),Frédéric Chopin,"Chopin: 24 Préludes, Op. 28 - 4. Largo in E Minor",Patrick Doyle,Please Forgive Me,Eva Cassidy,Fields Of Gold,Barbra Streisand,Don't Rain On My Parade
Richard Osman,writer and broadcaster,https://www.bbc.co.uk/programmes/m0012rhj,Hercule Poirot: the Complete Short Stories by Agatha Christie,2021-12-26,Morecambe & Wise,Bring Me Sunshine,Suede,Metal Mickey,The Douglas Wood Group,Snooker (Drag Racer),The cast of Hairspray,You Can't Stop The Beat,Fiona Apple,Extraordinary Machine,Estelle & Ye,American Boy,Future Islands,Ran,Erasure,A Little Respect
Sandi Toksvig,,https://www.bbc.co.uk/programmes/b06qg1ls,The Ashley Book of Knots,2015-11-29,Gene Kelly & Donald O’Connor & Debbie Reynolds,Good Morning,Joe Nichols,Whats a Guy Gotta Do,Gustav Winckler,Vi Ønsker Jer Alle En Glædelig Jul,Stephen Schwartz,Magic to Do,The Weather Girls,Its Raining Men,Barbra Streisand,Dont Rain on my Parade,Florence Price,"Symphony in E minor, 3rd movement",Bonnie Langford,Such Modest Dreams
Sharon Horgan,writer,https://www.bbc.co.uk/programmes/m000l7k1,The Sun Also Rises by Ernest Hemingway,2020-07-26,David Bowie,Rock 'n' Roll Suicide,The Smiths,The Queen Is Dead,Mic Christopher,Kid's Song,The Fall,Telephone Thing,The Charlatans,The Only One I Know,Metronomy,Everything Goes My Way,Arcade Fire,The Suburbs (continued),Kate Bush,Moments Of Pleasure
Sheryl Sandberg,,https://www.bbc.co.uk/programmes/b08z9b81,A Wrinkle in Time by Madeleine L'Engle,2017-07-30,Beyoncé,Run The World (Girls),The Chicks,Landslide,Queen,You're My Best Friend,Jonathan Groff,You'll Be Back,James Taylor,Sweet Baby James,Counting Crows,A Long December,Elton John,I'm Still Standing,U2,One
Simon Pegg,actor,https://www.bbc.co.uk/programmes/m001ly7j,The Wasp Factory by Iain Banks,2023-05-14,The Beatles,A Day In The Life,Billy Joel,Rosalinda's Eyes,"London Symphony Orchestra, conducted by John Williams",The Asteroid Field,The Smiths,Accept Yourself (David Jensen Session 25/08/83),The Sisters of Mercy,Marian (Version),Chaka Khan,I Feel For You,Coldplay,I Bloom Blaum,boygenius,Salt In The Wound
Sir Keir Starmer,Leader of the Opposition,https://www.bbc.co.uk/programmes/m000pdqz,A very detailed Atlas,2020-11-15,Dobie Gray,Out on the Floor,Ludwig van Beethoven,"Symphony No. 6 in F major, op. 68 ""Pastoral"" (5th) Movement",Jim Reeves,Welcome To My World,Orange Juice,Falling and Laughing,Edwin Hawkins Singers,Oh Happy Day,"Baddiel, Skinner & The Lightning Seeds",Three Lions,Ludwig van Beethoven,"Piano Concerto No.5, 2nd movement, Adagio un pocco mosso",Artists for Grenfell,Bridge Over Troubled Water
Stella McCartney,,https://www.bbc.co.uk/programmes/b08vxjth,Japanese Jailbird by Paul McCartney,2017-06-25,Nirvana,Smells Like Teen Spirit,Talking Heads,Road to Nowhere,The Beatles,Blackbird,David Bowie,Starman,Phyllis Dillon,Something,The Beach Boys,God Only Knows,Louis Armstrong,A Kiss to Build a Dream On,George Michael,Faith
Stephen Fry,,https://www.bbc.co.uk/programmes/b05zg6ng,T. S. Eliot Four Quartets,2015-06-21,Johann Sebastian Bach,The gigue from Bach's Partita No. 1 in B flat major,Franz Schubert,Variations 2 & 3 from Schubert's Piano Quintet in A,Ludwig van Beethoven,Presto  Quartet Op. 131 in C-Sharp minor,Nina Simone,I Wish I Knew how it would feel to be Free,Richard Wagner,"O sink hernieder , Nacht der Liebe",Hugh Laurie,Changes,Ella Fitzgerald,Do I Love You?,Arthur Wood,Barwick Green (The Archers' Theme Tune]
Stephen Graham,actor,https://www.bbc.co.uk/programmes/m000bdlj,Jonathan Livingston Seagull by Richard Bach,2019-11-17,Kasabian,Fire,Marvin Gaye,Save The Children,Young MC,Know How,Pink Floyd,Shine On You Crazy Diamond Part 1,Rufus & Chaka Khan,Ain't Nobody,Maverick Sabre,I Need,Noel Gallagher's High Flying Birds,Talk Tonight,DJ Fresh & High Contrast & Dizzee Rascal,How Love Begins (Hardcore Will Never Die Edition)
Stephen Merchant,writer,https://www.bbc.co.uk/programmes/m000clp3,Roger's Profanisaurus by Viz and Roger Mellie,2019-12-22,The Waterboys,The Whole of the Moon,Prince,Raspberry Beret,Pulp,Babies,Warren G & Nate Dogg and Michael McDonald,Regulate (Jammin' Remix),Bruce Springsteen,Thunder Road,Joni Mitchell,A Case Of You,Kamasi Washington,Change Of The Guard,Nick Cave & the Bad Seeds,Love Letter
Steven Spielberg,director,https://www.bbc.co.uk/programmes/m001g8m4,The Grapes of Wrath by John Steinbeck,2022-12-18,Gene Pitney,The Man Who Shot Liberty Valance,Yannick Nezet-Seguin,"Fugue in G minor, BMW 578 – “The Little” arranged by Leopold Stokowski, composed by J.S Bach, performed by Philadelphia Orchestra and conducted",The Beatles,Michelle,Jackie DeShannon,What the World Needs Now Is Love,Frank Sinatra,Come Fly with Me,Bruce Springsteen,The Ghost of Tom Joad,Reri Grist,"Somewhere, composed by Leonard Bernstein and Stephen Sondheim, performed",Buzzy Lee,Coolhand
Thom Yorke,musician,https://www.bbc.co.uk/programmes/m0008qg3,"Zen Mind, Beginner’s Mind by Shunryu Suzuki",2019-09-22,Maurice Ravel,"Ma mère l'oye, M.60 - For Piano Duet, M.60 - 5. Le jardin féerique",Scott Walker,It's Raining Today,Talking Heads,Born Under Punches (The Heat Goes On),Squarepusher & AFX,Freeman Hard And Willis Acid,Neil Young,After The Gold Rush,R.E.M,Talk About the Passion,Sidney Bechet and His New Orleans Feetwarmers,Blue Horizon,Nina Simone,Lilac Wine
Wendell Pierce,actor,https://www.bbc.co.uk/programmes/m0009ryj,The Omni-americans: Black Experience And American Culture by Albert Murray,2019-10-27,Jim Henson,Bein' Green,Wynton Marsalis,Green Chimneys,Funkadelic,One Nation Under a Groove (Part 1),Mahalia Jackson,"Take My Hand, Precious Lord",Joni Mitchell,Both Sides Now,Solomon Burke,Don't Give Up on Me,Aaron Copland,Appalachian Spring Doppio Movimento,John Coltrane,A Love Supreme Part I: Acknowledgement
